,condition,target,left,right,remainder,near_miss_side,decision,onset_utc,stop_utc,decision_utc,trial_start,spin_start_tt,spin_stop_tt,decision_start_tt,decision_tt
0,Near,9,3,5,6,1,n,1.66000008583,4.56999993324,9.95399999619,0,1.99300003052,2.90999984741,6.96000003815,8.29399991035
1,Win,10,4,6,6,0,y,11.506000042,13.9040000439,18.3380000591,0,1.99799990654,2.39800000191,6.4319999218,6.83200001717
2,Win,12,6,6,6,0,y,19.9700000286,22.3710000515,27.1719999313,0,2.00099992752,2.40100002289,6.43499994278,7.20199990273
3,Near,10,5,4,5,2,y,28.746999979,31.1059999466,35.5729999542,0,1.99100017548,2.35899996758,6.39100003242,6.8259999752
4,Loss,8,4,7,4,1,n,37.1710000038,39.623000145,44.0390000343,0,2.00099992752,2.45200014114,6.48500013351,6.86800003052
5,Loss,11,7,6,4,0,n,45.5880000591,48.0570001602,52.5729999542,0,2.00200009346,2.46900010109,6.50200009346,6.9849998951
