,condition,target,left,right,remainder,near_miss_side,decision,onset_utc,stop_utc,decision_utc,trial_start,spin_start_tt,spin_stop_tt,decision_start_tt,decision_tt
0,Loss,5,6,1,-1,0,n,1.57100009918,4.08899998665,10.0729999542,0,2.00099992752,2.51799988747,6.55200004578,8.50199985504
1,Loss,6,7,2,-1,0,y,11.6040000916,13.9230000973,19.4579999447,0,2.00199985504,2.31900000572,6.35299992561,7.85399985313
2,Win,7,3,4,4,0,y,21.0210001469,23.7410001755,31.375,0,2.00300002098,2.72000002861,6.7539999485,10.3539998531
3,Loss,3,1,4,2,0,n,32.9570000172,37.9930000305,43.3420000076,0,2.00099992752,5.03600001335,9.06900000572,10.3849999905
4,Loss,1,2,1,-1,2,n,44.9230000973,47.8600001335,53.1770000458,0,2.00300002098,2.93700003624,6.97000002861,8.2539999485
5,Near,5,2,2,3,1,n,54.7290000916,60.4270000458,65.493999958,0,1.99799990654,5.69799995422,9.73099994659,10.7649998665
6,Near,3,0,2,3,1,n,67.0590000153,72.495000124,77.9120001793,0,2.00200009346,5.43600010872,9.47000002861,10.853000164
7,Win,8,5,3,3,0,y,79.478000164,84.4290001392,90.1460001469,0,2.00099992752,4.9509999752,8.9849998951,10.6679999828
8,Near,2,1,0,1,2,n,91.6790001392,100.980000019,106.465000153,0,2.00099992752,9.30099987984,13.3350000381,14.7860000134
9,Loss,7,1,8,6,1,n,108.035000086,111.364000082,118.749000072,0,1.9960000515,3.32899999619,7.36299991608,10.7139999866
10,Win,1,0,1,1,0,y,120.315000057,125.414999962,130.299000025,0,2.0,5.09999990463,9.13400006294,9.98399996758
11,Win,6,3,3,3,0,y,131.874000072,136.351000071,145.551000118,0,1.992000103,4.47699999809,8.50999999046,13.6770000458
12,Loss,8,2,9,6,1,n,147.069000006,151.368000031,156.335999966,0,1.99900007248,4.2990000248,8.33200001717,9.26699995995
13,Loss,4,2,5,2,0,n,157.906000137,163.335000038,170.120000124,0,1.99599981308,5.42899990082,9.46299982071,12.2139999866
14,Win,5,4,1,1,0,y,171.726999998,174.786000013,179.337000132,0,1.992000103,3.05900001526,7.09300017357,7.61000013351
15,Win,4,2,2,2,0,y,180.860000134,185.153000116,189.521000147,0,1.99300003052,4.29299998283,8.32799983025,8.66100001335
16,Near,1,0,0,1,1,n,191.082000017,197.92200017,208.42200017,0,1.98900008202,6.84000015259,10.873000145,17.3400001526
17,Win,2,2,0,0,0,y,209.983999968,215.838999987,220.822999954,0,1.9880001545,5.85500001907,9.88900017738,10.8389999866
18,Near,8,4,3,4,2,n,222.380000114,225.156000137,229.624000072,0,1.99300003052,2.77600002289,6.8109998703,7.24399995804
19,Loss,2,3,2,-1,2,n,231.151000023,236.141000032,240.541000128,0,1.98900008202,4.99000000954,9.02399992943,9.3900001049
20,Near,7,3,3,4,1,n,242.105999947,247.226000071,252.825000048,0,2.00200009346,5.12000012398,9.15300011635,10.7190001011
21,Win,3,2,1,1,0,y,254.394000053,257.259000063,262.443000078,0,1.99900007248,2.86500000954,6.89899992943,8.0490000248
22,Near,4,2,1,2,2,n,263.978000164,267.77699995,274.393000126,0,1.99799990654,3.79899978638,7.83199977875,10.4149999619
23,Near,6,3,2,3,2,n,275.962000132,282.944000006,290.628999949,0,1.99899983406,6.98199987411,11.0160000324,14.6669998169
