,condition,target,left,right,remainder,near_miss_side,decision,onset_utc,stop_utc,decision_utc,trial_start,spin_start_tt,spin_stop_tt,decision_start_tt,decision_tt
0,Loss,8,4,7,4,1,n,4.67599987984,8.03600001335,13.7230000496,0,2.0070002079,3.36000013351,7.43600010872,9.04700016975
1,Near,9,3,5,6,1,n,18.2620000839,21.1600000858,31.8120000362,0,1.97599983215,2.89800000191,6.94999980927,13.5499999523
2,Win,10,4,6,6,0,n,36.7170000076,43.3599998951,49.4470000267,0,1.98699998856,6.64299988747,10.7039999962,12.7300000191
3,Win,12,6,6,6,0,y,54.0940001011,57.1940000057,62.4570000172,0,1.97299981117,3.09999990463,7.15799999237,8.36299991608
4,Loss,11,7,6,4,0,n,67.1019999981,71.0669999123,77.6579999924,0,1.99000000954,3.96499991417,8.04500007629,10.5559999943
5,Near,10,5,4,5,2,n,82.1749999523,86.5439999104,91.1080000401,0,1.99399995804,4.36899995804,8.4470000267,8.93300008774
