,condition,target,left,right,remainder,near_miss_side,decision,onset_utc,stop_utc,decision_utc,trial_start,spin_start_tt,spin_stop_tt,decision_start_tt,decision_tt
0,Loss,11,7,6,4,0,n,1.59100008011,5.2460000515,10.7300000191,0,2.03799986839,3.65499997139,7.68899989128,9.13899993896
1,Win,10,4,6,6,0,y,12.2799999714,14.7460000515,19.131000042,0,2.0,2.46600008011,6.50100016594,6.85100007057
2,Win,12,6,6,6,0,y,20.7260000706,23.131000042,27.5780000687,0,1.98799991608,2.40499997139,6.43899989128,6.85199999809
3,Near,9,3,5,6,1,y,29.1909999847,31.628000021,37.0120000839,0,2.0039999485,2.43700003624,6.47000002861,7.82100009918
4,Near,10,5,4,5,2,y,38.5929999352,41.0789999962,46.8960001469,0,2.00200009346,2.48600006104,6.51900005341,8.30300021172
5,Loss,8,4,7,4,1,n,48.4409999847,51.0299999714,55.4290001392,0,1.9880001545,2.58899998665,6.62199997902,6.9880001545
