,condition,target,left,right,remainder,near_miss_side,decision,onset_utc,stop_utc,decision_utc,trial_start,spin_start_tt,spin_stop_tt,decision_start_tt,decision_tt
0,Near,9,3,5,6,1,n,4.65599989891,7.71899986267,12.9789998531,0,2.00099992752,3.06299996376,7.14899992943,8.32299995422
1,Loss,11,7,6,4,0,n,17.4909999371,21.5789999962,26.0199999809,0,2.00199985504,4.08800005913,8.13899993896,8.52900004387
2,Win,10,4,6,6,0,n,30.6649999619,33.2179999352,37.9639999866,0,1.9889998436,2.5529999733,6.61599993706,7.2990000248
3,Loss,8,4,7,4,1,n,42.6049997807,45.0799999237,50.3219997883,0,1.98600006104,2.47500014305,6.52300000191,7.71700000763
4,Near,10,5,4,5,2,n,54.9759998322,58.4709999561,63.6799998283,0,2.00300002098,3.49500012398,7.57000017166,8.70399999619
5,Win,12,6,6,6,0,n,68.1959998608,73.0369999409,78.1919999123,0,1.99300003052,4.84100008011,8.91100001335,9.9960000515
