,condition,target,left,right,remainder,near_miss_side,decision,onset_utc,stop_utc,decision_utc,trial_start,spin_start_tt,spin_stop_tt,decision_start_tt,decision_tt
0,Loss,11,7,6,4,0,n,1.61500000954,7.20000004768,13.5499999523,0,2.05099987984,5.58500003815,9.61899995804,11.9349999428
1,Win,10,4,6,6,0,y,15.0759999752,19.9839999676,25.4839999676,0,1.992000103,4.90799999237,8.94199991226,10.4079999924
2,Loss,8,4,7,4,1,n,27.0629999638,31.2679998875,40.2520000935,0,1.98900008202,4.20499992371,8.23900008202,13.1890001297
3,Near,9,3,5,6,1,y,41.8199999332,45.986000061,52.7200000286,0,1.99900007248,4.16600012779,8.20000004768,10.9000000954
4,Win,12,6,6,6,0,y,54.2890000343,59.0710000992,65.5869998932,0,1.99699997902,4.78200006485,8.81500005722,11.2979998589
5,Near,10,5,4,5,2,n,67.114000082,69.3880000114,75.754999876,0,1.99099993706,2.27399992943,6.3069999218,8.64099979401
