,condition,target,left,right,remainder,near_miss_side,decision,onset_utc,stop_utc,decision_utc,trial_start,spin_start_tt,spin_stop_tt,decision_start_tt,decision_tt
0,Win,12,6,6,6,0,y,1.57199978828,6.70899987221,12.0759999752,0,2.03700017929,5.13700008392,9.17100000381,10.5040001869
1,Near,9,3,5,6,1,n,13.5989999771,23.5769999027,28.9949998856,0,1.99399995804,9.97799992561,14.010999918,15.3959999084
2,Loss,8,4,7,4,1,n,30.5629999638,34.4449999332,39.6119999886,0,1.99899983406,3.88199996948,7.91499996185,9.0490000248
3,Win,10,4,6,6,0,y,41.1840000153,44.8279998302,49.4299998283,0,1.99499988556,3.64399981499,7.6779999733,8.24599981308
4,Near,10,5,4,5,2,n,50.9900000095,56.5959999561,61.129999876,0,1.9889998436,5.60599994659,9.63999986649,10.1399998665
5,Loss,11,7,6,4,0,n,62.6919999123,65.9299998283,70.5309998989,0,1.98799991608,3.23799991608,7.27200007439,7.83899998665
