,condition,target,left,right,remainder,near_miss_side,decision,onset_utc,stop_utc,decision_utc,trial_start,spin_start_tt,spin_stop_tt,decision_start_tt,decision_tt
0,Near,9,3,5,6,1,n,1.69499993324,4.13400006294,8.58299994469,0,2.00600004196,2.4390001297,6.47200012207,6.88800001144
1,Loss,8,4,7,4,1,n,10.1240000725,12.7000000477,18.6989998817,0,1.9929997921,2.5759999752,6.60899996758,8.57499980927
2,Win,12,6,6,6,0,y,20.2999999523,22.7820000648,27.1489999294,0,1.99900007248,2.48200011253,6.5150001049,6.84899997711
3,Loss,11,7,6,4,0,n,28.7379999161,31.2969999313,35.763999939,0,1.99300003052,2.55900001526,6.59299993515,7.02600002289
4,Win,10,4,6,6,0,n,37.3589999676,39.8629999161,44.5130000114,0,1.98699998856,2.5039999485,6.53699994087,7.15400004387
5,Near,10,5,4,5,2,n,46.0520000458,48.5620000362,53.1449999809,0,1.99300003052,2.50999999046,6.54299998283,7.09299993515
